acquisition_channel,cancel_year_month,duration_month,fiber_or_adsl,has_retention,offer,recruit_year_month,sub_offer,total_bill,churned,recruit_date,cancel_date,tenure_months,tenure_bin,monthly_revenue_rate
phone,2019-07,42.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1810,1,2016-01-01,2019-07-01,42.0,42,43.095238095238095
online,2018-07,18.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,670,1,2017-01-01,2018-07-01,18.0,18,37.22222222222222
phone,2018-03,26.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1030,1,2016-01-01,2018-03-01,26.0,24,39.61538461538461
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2470,0,2017-01-01,,60.381077529566355,60,40.90685527747552
phone,2019-02,37.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2060,1,2016-01-01,2019-02-01,37.0,36,55.67567567567568
online,,,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2890,0,2016-01-01,,72.40473061760841,72,39.91451905626134
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3820,0,2016-01-01,,72.40473061760841,72,52.75898366606171
outgoing call - promo,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2230,0,2017-01-01,,60.381077529566355,60,36.932100108813934
phone,2019-02,25.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1060,1,2017-01-01,2019-02-01,25.0,24,42.4
pos,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3030,0,2016-01-01,,72.40473061760841,72,41.8480943738657
pos,2021-02,61.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3120,1,2016-01-01,2021-02-01,61.0,60,51.14754098360656
outgoing call - promo,2018-05,16.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,440,1,2017-01-01,2018-05-01,16.0,16,27.5
online,2017-07,6.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,50,1,2017-01-01,2017-07-01,6.0,6,8.333333333333334
phone,2018-01,24.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,940,1,2016-01-01,2018-01-01,24.0,24,39.166666666666664
outgoing call - promo,2019-03,26.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,730,1,2017-01-01,2019-03-01,26.0,24,28.076923076923077
phone,2018-03,26.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1250,1,2016-01-01,2018-03-01,26.0,24,48.07692307692308
outgoing call - promo,2017-10,9.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,130,1,2017-01-01,2017-10-01,9.0,9,14.444444444444445
outgoing call - promo,2018-01,12.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,170,1,2017-01-01,2018-01-01,12.0,12,14.166666666666666
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3020,0,2016-01-01,,72.40473061760841,72,41.70998185117968
phone,2020-04,39.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3110,1,2017-01-01,2020-04-01,39.0,36,79.74358974358974
online,2018-10,21.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1190,1,2017-01-01,2018-10-01,21.0,21,56.666666666666664
outgoing call - promo,2019-11,34.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1040,1,2017-01-01,2019-11-01,34.0,33,30.58823529411765
outgoing call - promo,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2230,0,2017-01-01,,60.381077529566355,60,36.932100108813934
online,2018-05,28.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1150,1,2016-01-01,2018-05-01,28.0,27,41.07142857142857
phone,2016-12,11.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,520,1,2016-01-01,2016-12-01,11.0,11,47.27272727272727
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3220,0,2017-01-01,,60.381077529566355,60,53.327965179542986
phone,2016-01,0.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-01-01,0.0,0,
outgoing call - promo,2017-11,22.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,410,1,2016-01-01,2017-11-01,22.0,22,18.636363636363637
phone,2018-05,16.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,760,1,2017-01-01,2018-05-01,16.0,16,47.5
phone,2016-05,4.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,90,1,2016-01-01,2016-05-01,4.0,4,22.5
online,2018-05,28.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2090,1,2016-01-01,2018-05-01,28.0,27,74.64285714285714
phone,2017-03,2.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-03-01,2.0,2,0.0
online,2018-01,24.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,930,1,2016-01-01,2018-01-01,24.0,24,38.75
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,4390,0,2016-01-01,,72.40473061760841,72,60.63139745916516
phone,2018-04,15.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1010,1,2017-01-01,2018-04-01,15.0,15,67.33333333333333
online,2016-03,2.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,40,1,2016-01-01,2016-03-01,2.0,2,20.0
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2980,0,2016-01-01,,72.40473061760841,72,41.157531760435575
outgoing call - promo,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3380,0,2016-01-01,,72.40473061760841,72,46.68203266787659
online,2016-12,11.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,370,1,2016-01-01,2016-12-01,11.0,11,33.63636363636363
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2580,0,2017-01-01,,60.381077529566355,60,42.72861806311208
phone,,,fiber,True,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,4210,0,2016-01-01,,72.40473061760841,72,58.1453720508167
phone,2018-10,33.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1740,1,2016-01-01,2018-10-01,33.0,33,52.72727272727273
online,2016-01,0.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-01-01,0.0,0,
pos,2019-04,27.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1420,1,2017-01-01,2019-04-01,27.0,27,52.592592592592595
phone,2017-10,9.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-10-01,9.0,9,0.0
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3550,0,2016-01-01,,72.40473061760841,72,49.02994555353902
phone,2017-08,19.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,900,1,2016-01-01,2017-08-01,19.0,19,47.36842105263158
online,2019-05,28.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1190,1,2017-01-01,2019-05-01,28.0,27,42.5
online,2016-10,9.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,80,1,2016-01-01,2016-10-01,9.0,9,8.88888888888889
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2400,0,2017-01-01,,60.381077529566355,60,39.74755168661589
phone,2021-06,65.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3240,1,2016-01-01,2021-06-01,65.0,60,49.84615384615385
phone,2018-01,24.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1290,1,2016-01-01,2018-01-01,24.0,24,53.75
phone,2016-09,8.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-09-01,8.0,8,0.0
phone,2018-12,23.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1100,1,2017-01-01,2018-12-01,23.0,23,47.82608695652174
online,2016-07,6.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,300,1,2016-01-01,2016-07-01,6.0,6,50.0
outgoing call - promo,2018-04,15.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,240,1,2017-01-01,2018-04-01,15.0,15,16.0
phone,2017-09,8.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,170,1,2017-01-01,2017-09-01,8.0,8,21.25
phone,2018-12,35.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2040,1,2016-01-01,2018-12-01,35.0,33,58.285714285714285
online,2018-02,25.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1060,1,2016-01-01,2018-02-01,25.0,24,42.4
